table	downstream_files	total_mentions	files
hlb_mart.mart_skill_open_date_se	8	8	mart/queries.py,mart_adhoc/adhoc_mart_user_key_actions_for_targeting.sql,mart_integrated/union_mart_user_key_actions.sql,report/report_skill_info_mybot.sql,report/report_skill_info_origin.sql,report/report_skill_referral_mkt_daily.sql,report/report_total_metrics_ip_monthly.sql,report/report_total_metrics_ip_weekly.sql
hlb_pre_report.pre_report_skill_with_manual_tagged_info	7	9	mart_adhoc/adhoc_mart_user_key_actions_for_targeting.sql,mart_integrated/union_mart_use_skill_and_user_daily.sql,mart_integrated/union_mart_use_skill_from_home_banner.sql,mart_integrated/union_mart_use_skill_from_search_result.sql,pre_report/pre_report_hlb_okr_metrics_revenue.sql,pre_report/queries.py,report/report_pay_for_skill_with_target_info.sql
hlb_mart.mart_first_open_fb	7	8	mart/queries.py,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql
hlb_mart.mart_sign_up_fb	7	8	mart/queries.py,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql
hlb_mart.mart_login_success_fb	7	8	mart/queries.py,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql
hlb_mart.mart_fixed_menu_evaluation_server	7	7	mart/queries.py,report/report_kpi_total_skill_monthly.sql,report/report_kpi_total_skill_monthly_platform_app.sql,report/report_kpi_total_skill_monthly_platform_web.sql,report/report_kpi_total_skill_weekly.sql,report/report_kpi_total_skill_weekly_platform_app.sql,report/report_kpi_total_skill_weekly_platform_web.sql
hlb_pre_report.pre_report_cohort_retention_visit	6	7	pre_report/queries.py,report/report_cohort_retention_visit_by_platform_weekly.sql,report/report_cohort_retention_visit_daily_app.sql,report/report_cohort_retention_visit_daily_web.sql,report/report_cohort_retention_visit_monthly.sql,report/report_cohort_retention_visit_monthly_web.sql
hlb_pre_report.pre_report_cohort_retention_pay	6	7	pre_report/queries.py,report/report_cohort_retention_pay_by_platform_daily.sql,report/report_cohort_retention_pay_by_platform_weekly.sql,report/report_cohort_retention_pay_by_platform_weekly_purchase_user.sql,report/report_cohort_retention_pay_by_platform_yearly.sql,report/report_cohort_retention_pay_by_platform_yearly_purchase_user.sql
hlb_intermediate.intermediate_v2_metrics_lv3_fb	6	7	intermediate/intermediate_ai_chatbot_fb.sql,intermediate/intermediate_exhibition_fb.sql,intermediate/intermediate_home_action_fb.sql,intermediate/intermediate_relation_fb.sql,intermediate/intermediate_v2_skill_funnel_fb.sql,intermediate/queries.py
hlb_intermediate.intermediate_ir_dashboard_metrics_fb	6	7	intermediate/intermediate_session_start_sign_up_fb.sql,intermediate/queries.py,mart/mart_first_open_fb.sql,mart/mart_login_success_fb.sql,mart/mart_purchase_fb.sql,mart/mart_skill_funnel_fb.sql
