판매중,챗봇ID,챗봇,콘텐츠 타입,스킬ID,스킬,주제,topic,intents,temporal,웹 정상가,웹 판매가,앱 정상가,앱 판매가,앱 정상가(하트 가격),앱 판매가(하트 가격),판매종료 여부,출시일,ARPPU,인당 구매 횟수,건당 구매 금액,진입 사용자수,구매횟수,구매자수,구매 전환율,매출,앱 매출,웹 매출,판매일수,평균 일 거래액,앱 판매일수,앱 평균 일 거래액,웹 판매일수,웹 평균 일 거래액,앱 노출여부,웹 노출여부
,4223,DS타로 dstarot,-,26197,그 사람이 나에게 하고 싶은 말 (feat.편지카드),-,연애,-,-,19500,,9750,,65,,FALSE,2023. 3. 17.,"₩41,349",4.93,"₩8,388","1,939","5,122","1,039",54%,"₩42,961,650","₩38,563,800","₩4,397,850",987,"₩41,832",981,"₩39,311",187,"₩23,518",노출,노출
,52,판밍밍,사주,27326,내 사주의 가장 강한 복은 뭘까?,팔자,일반운세,-,-,21000,19800,21000,19800,140,132,FALSE,2023. 4. 27.,"₩14,429",1.07,"₩13,460","12,336","4,360","4,067",33%,"₩58,684,150","₩37,932,900","₩20,751,250",525,"₩83,715",500,"₩75,866",247,"₩84,013",노출,노출
,52,판밍밍,사주,24472,반드시 성공할 사업 분야와 기회는?,팔자,학업직업,재물성장,-,18000,17400,18000,17400,120,116,FALSE,2022. 11. 22.,"₩12,059",1.08,"₩11,121","12,429","4,516","4,165",34%,"₩50,224,150","₩37,668,750","₩12,555,400",771,"₩52,923",719,"₩52,390",346,"₩36,287",노출,노출
,52,판밍밍,사주,25651,도화살 결혼운: 나는 결혼하면 잘 살까?,결혼,결혼,새로운만남|결혼시기,-,21000,19800,21000,19800,140,132,FALSE,2023. 2. 6.,"₩13,021",1.05,"₩12,381","15,054","5,026","4,779",32%,"₩62,226,950","₩36,870,300","₩25,356,650",599,"₩69,295",537,"₩68,660",334,"₩75,918",노출,노출
,9170,창광 김성태,사주,56416,[창광] 26년 병오년 사랑운과 인연운,신년운세,연애,-,신년운세,20250,18000,20250,18000,135,120,FALSE,2025. 10. 16.,"₩17,251",1.02,"₩16,953","6,216","2,662","2,616",42%,"₩45,127,650","₩36,803,250","₩8,324,400",172,"₩259,354",171,"₩215,224",120,"₩69,370",노출,노출
,52,판밍밍,사주,20054,반드시 잡아야 할 내 인생의 귀인은? (추천할인),기타,일반운세,-,-,15000,13500,15000,13500,100,90,FALSE,2022. 3. 17.,"₩7,292",1.02,"₩7,163","13,335","5,116","5,026",38%,"₩36,647,450","₩36,168,450","₩479,000",922,"₩28,299",908,"₩39,833",34,"₩14,088",미노출,미노출
,52,판밍밍,사주,16423,오행五行으로 보는 성격 특징,기타,자기탐구,-,-,15000,13500,15000,13500,100,90,FALSE,2021. 3. 1.,"₩8,757",1.14,"₩7,677","28,397","6,099","5,347",19%,"₩46,822,550","₩35,819,700","₩11,002,850","1,235","₩26,940","1,146","₩31,256",460,"₩23,919",노출,노출
,10193,붉은 실 사주타로,타로,51301,사주+타로: 임신운 심층 분석,자녀운,가족자녀,임신출산,-,31500,29250,31500,29250,210,195,FALSE,2025. 6. 20.,"₩29,749",1.04,"₩28,636","25,002","6,285","6,050",24%,"₩179,980,250","₩35,778,450","₩144,201,800",292,"₩616,371",264,"₩135,524",292,"₩493,842",노출,노출
,10457,박향옥 철학관,사주,57010,2026 신년 애정운: 연애/재회/미혼/기혼,연애,연애,재회,신년운세,19500,17250,19500,17250,130,115,FALSE,2025. 11. 13.,"₩16,828",1.04,"₩16,231","5,654","3,159","3,047",54%,"₩51,275,125","₩35,346,450","₩15,928,675",145,"₩351,199",145,"₩243,769",109,"₩146,135",노출,노출
,6167,독산언니,사주,44371,도화살로 보는 연애운 전성기,연애,연애,새로운만남,-,19500,18000,19500,18000,130,120,FALSE,2024. 10. 31.,"₩17,774",1.02,"₩17,422","12,588","3,790","3,715",30%,"₩66,029,650","₩35,228,100","₩30,801,550",380,"₩131,272",362,"₩97,315",163,"₩188,967",노출,노출
,52,판밍밍,사주,2202,사주로 보는 직업운,기타,학업직업,-,-,1500,,1500,,10,,FALSE,2021. 3. 1.,₩934,1.24,₩753,"84,794","57,535","46,370",55%,"₩43,302,550","₩34,176,900","₩9,115,600","1,842","₩23,268","1,841","₩18,564","1,450","₩6,287",노출,노출
,10457,박향옥 철학관,사주,56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법,이별/재회,연애,재회|궁합,-,24000,19500,24000,19500,160,130,FALSE,2025. 10. 27.,"₩19,711",1.07,"₩18,489","7,425","2,985","2,800",38%,"₩55,190,350","₩34,059,300","₩21,131,050",161,"₩340,681",161,"₩211,548",135,"₩156,526",노출,노출
