age_group,menu_seq,menu_name,topic,content_type,buyers,revenue_krw,price_amount,open_date,is_open,is_stop_selling
26-35,55195,사주 살풀이: 타고난 살과 2026년의 살,일반운세,사주,610,1.079205E7,21000,2025-09-10 15:00:00+00,true,false
26-35,23705,그 사람 얼마나 잘 지낼까?,연애,타로,608,2416950.0,1500,2022-09-29 15:00:00+00,true,false
26-35,50344,[추가구매] 2025 을사년 하반기 애정운,연애,사주,605,5729250.0,9000,,false,true
26-35,57373,2026 신년 직업・재물운: 커리어/연봉/부업・사업,재물금전,사주,602,1.02009E7,19500,2025-11-19 15:00:00+00,true,false
26-35,45097,헤어진 X와 재회할 수 있을까?,연애,사주,581,1.32615E7,27000,2024-11-20 15:00:00+00,true,false
26-35,56614,"[창광] 신년운세 통합본 ""2026년 병오년""",총운,사주,566,3.19797E7,66000,2025-11-05 15:00:00+00,true,false
26-35,57934,2026 신년 결혼운: 내 인생 최고의 배우자는?,결혼,사주,554,9368100.0,19500,2025-12-18 04:30:00+00,true,false
26-35,45658,이 사람과 결혼해도 될까?: 결혼 전 필수 궁합,결혼,사주,551,1.191495E7,21000,2025-01-02 15:00:00+00,true,false
26-35,2366,지금 헤어져도 될까,연애,타로,541,1016550.0,1500,,true,false
26-35,16378,짝사랑 이루어질까?,연애,타로,532,7240950.0,9000,,true,false
26-35,41074,[완결판] 곧 다가올 나의 인생 연애,연애,타로,530,9993600.0,19500,2024-05-22 15:00:00+00,true,false
26-35,23088,오늘의 썸 연애운: 그 사람과 잘 되는 법,연애,사주,509,442500.0,1500,2022-09-21 15:00:00+00,true,false
26-35,2503,그 사람이 보는 내 이미지,연애,타로,492,2466750.0,1500,,true,false
26-35,2425,이달의 합격운,학업직업,사주,486,1726500.0,3000,,true,false
26-35,30940,이 사랑의 결말: 그 사람과 나의 인연,연애,타로,484,9163500.0,18000,2023-07-05 16:00:00+00,true,false
26-35,18646,그 사람 나랑 '어디까지' 상상해봤을까?,연애,타로,480,1117200.0,1500,2020-07-30 11:47:00+00,true,false
26-35,538,이직해도 될까,학업직업,타로,478,420300.0,1500,,true,false
26-35,37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,연애,사주,477,9177300.0,21000,2024-01-17 16:00:00+00,true,false
